model_name,horizon,mean_mae,mean_rmse,mean_mase,mean_bias,folds,mean_rows,mean_stations
xgboost,7,2.594881717808339,4.116600159668051,0.9117938102902113,0.13622331857518302,4,1392.0,222.5
lgbm,7,2.600796285506266,4.077125128758616,0.9206882149526429,0.2682241220744551,4,1392.0,222.5
naive,7,3.3806444561455784,5.4231754502733445,1.1706239762227366,-0.0004937224007142971,4,1392.0,222.5
seasonal_naive_7,7,3.4029738548978323,5.521250250756073,1.1875312219038183,0.21254601773497292,4,1392.0,222.5
deepar,7,4.0854877194864825,7.900753512369398,1.2312958370057774,-3.0913704373374027,4,1392.0,222.5
xgboost,30,2.9016374965243266,5.1501516863507355,1.0235404209118353,-0.2886251568085957,4,5990.0,224.25
lgbm,30,2.932339674490759,5.11110199285155,1.0422921078733733,0.06506972722185903,4,5990.0,224.25
seasonal_naive_7,30,3.6551291702985,6.3086567977188155,1.2755496039294345,0.035447451468009095,4,5990.0,224.25
naive,30,3.7164374946752883,6.283846302453002,1.2925823319232483,-0.17610667840999988,4,5990.0,224.25
deepar,30,4.6759164767989185,9.243379914799053,1.406012186912314,-3.772091006018888,4,5990.0,224.25
