fold_id,horizon,train_start,train_end,test_start,test_end
1,7,2019-01-01,2024-10-30,2024-10-31,2024-11-06
2,7,2019-01-01,2024-11-06,2024-11-07,2024-11-13
3,7,2019-01-01,2024-11-13,2024-11-14,2024-11-20
4,7,2019-01-01,2024-11-20,2024-11-21,2024-11-27
5,7,2019-01-01,2024-11-27,2024-11-28,2024-12-04
6,7,2019-01-01,2024-12-04,2024-12-05,2024-12-11
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15
3,30,2019-01-01,2024-10-23,2024-10-24,2024-11-22
4,30,2019-01-01,2024-10-30,2024-10-31,2024-11-29
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20
8,30,2019-01-01,2024-11-27,2024-11-28,2024-12-27
