model_name,horizon,mean_mae,mean_rmse,mean_mase,mean_bias,folds
sarimax_dynamic,7,122.4034235029697,151.91957188966742,0.9441640477107757,54.67274639414009,8
ets,7,129.4626745969643,164.94427746488037,0.9986475835565743,95.51645016082787,8
tree_boosting_fallback,7,129.92709395548192,157.62571872735958,1.0024447418860138,86.39284822064515,8
fourier_dynamic_regression,7,141.5201029096331,173.9767605169107,1.0917163866202984,35.223691122872495,8
seasonal_naive_7,7,146.78571428571428,195.40343747193782,1.1323484973347087,79.78571428571429,8
naive,7,155.76785714285714,182.8705002121881,1.2019046869404426,85.98214285714286,8
seasonal_naive_30,7,319.4642857142857,385.82184957993695,2.463704252558319,313.5357142857143,8
sarimax_dynamic,30,132.78136375794566,181.162389729811,1.026557126073289,77.82777841771,8
fourier_dynamic_regression,30,141.00471458435058,188.75394483744088,1.0905605031689076,-33.21402651468913,8
tree_boosting_fallback,30,162.16648757873722,213.9873923607246,1.2534142703143072,111.60336664039058,8
naive,30,195.325,242.66652476601539,1.5092031885664219,122.14166666666667,8
ets,30,218.73808005050662,268.0616874989884,1.6905445021495396,190.9982914571412,8
seasonal_naive_7,30,241.58333333333334,324.09235481606333,1.8674058891751764,195.83333333333334,8
seasonal_naive_30,30,297.2416666666667,383.7086699484145,2.2968306071600058,272.56666666666666,8
